Marca,Modelo,Valor,Ano,Combustivel,Automatico,Vendas
Acura,Integra GS 1.8,11165.0,1992,Gasolina,False,2226
Acura,Integra GS 1.8,10167.0,1991,Gasolina,False,1468
Acura,Legend 3.2/3.5,25574.0,1998,Gasolina,False,1180
Acura,Legend 3.2/3.5,22561.0,1997,Gasolina,False,1106
Acura,Legend 3.2/3.5,21388.0,1996,Gasolina,False,1433
Acura,Legend 3.2/3.5,19223.0,1995,Gasolina,False,1909
Acura,Legend 3.2/3.5,17257.0,1994,Gasolina,False,1262
Acura,Legend 3.2/3.5,14629.0,1993,Gasolina,False,570
Acura,Legend 3.2/3.5,13613.0,1992,Gasolina,False,1095
Acura,Legend 3.2/3.5,13191.0,1991,Gasolina,False,1140
Acura,NSX 3.0,41265.0,1995,Gasolina,False,1066
Acura,NSX 3.0,39816.0,1994,Gasolina,False,1352
Acura,NSX 3.0,38495.0,1993,Gasolina,False,1315
Acura,NSX 3.0,36786.0,1992,Gasolina,False,2210
Acura,NSX 3.0,33628.0,1991,Gasolina,False,1271
Agrale,MARRUÁ 2.8 12V 132cv TDI Diesel,45729.0,2007,Diesel,False,1877
Agrale,MARRUÁ 2.8 12V 132cv TDI Diesel,42773.0,2006,Diesel,False,627
Agrale,MARRUÁ 2.8 12V 132cv TDI Diesel,38786.0,2005,Diesel,False,1677
Agrale,MARRUÁ 2.8 12V 132cv TDI Diesel,35837.0,2004,Diesel,False,1705
Agrale,MARRUÁ AM 100 2.8 CS TDI Diesel,103052.0,2015,Diesel,False,1712
Agrale,MARRUÁ AM 100 2.8 CS TDI Diesel,96895.0,2014,Diesel,False,1523
Agrale,MARRUÁ AM 100 2.8 CS TDI Diesel,93773.0,2013,Diesel,False,836
Agrale,MARRUÁ AM 100 2.8 CS TDI Diesel,87230.0,2012,Diesel,False,1997
Agrale,MARRUÁ AM 100 2.8 CS TDI Diesel,61790.0,2011,Diesel,False,1891
Agrale,MARRUÁ AM 100 2.8 CS TDI Diesel,49892.0,2010,Diesel,False,1323
Agrale,MARRUÁ AM 100 2.8 CS TDI Diesel,44093.0,2009,Diesel,False,1464
Agrale,MARRUÁ AM 100 2.8 CS TDI Diesel,42403.0,2008,Diesel,False,1749
Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,115008.0,2015,Diesel,False,1485
Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,111536.0,2014,Diesel,False,758
Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,108051.0,2013,Diesel,False,2056
Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,104768.0,2012,Diesel,False,1424
Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,81474.0,2011,Diesel,False,1735
Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,55226.0,2010,Diesel,False,1522
Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,51645.0,2009,Diesel,False,1291
Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,49440.0,2008,Diesel,False,1647
Agrale,MARRUÁ AM 100 2.8 CD TDI Diesel,47853.0,2007,Diesel,False,1962
Agrale,MARRUÁ AM 150 2.8 CS TDI Diesel,102252.0,2015,Diesel,False,979
Agrale,MARRUÁ AM 150 2.8 CS TDI Diesel,98602.0,2014,Diesel,False,2028
Agrale,MARRUÁ AM 150 2.8 CS TDI Diesel,94367.0,2013,Diesel,False,898
Agrale,MARRUÁ AM 150 2.8 CS TDI Diesel,88257.0,2012,Diesel,False,828
Agrale,MARRUÁ AM 150 2.8 CS TDI Diesel,75323.0,2011,Diesel,False,724
Agrale,MARRUÁ AM 150 2.8 CS TDI Diesel,52234.0,2010,Diesel,False,64
Agrale,MARRUÁ AM 150 2.8 CS TDI Diesel,48534.0,2009,Diesel,False,1760
Agrale,MARRUÁ AM 150 2.8 CS TDI Diesel,46319.0,2008,Diesel,False,1442
Agrale,MARRUÁ AM 150 2.8 CD TDI Diesel,127035.0,2015,Diesel,False,407
Agrale,MARRUÁ AM 150 2.8 CD TDI Diesel,105663.0,2014,Diesel,False,2285
Agrale,MARRUÁ AM 150 2.8 CD TDI Diesel,102064.0,2013,Diesel,False,1466
Agrale,MARRUÁ AM 150 2.8 CD TDI Diesel,98774.0,2012,Diesel,False,1496
Agrale,MARRUÁ AM 150 2.8 CD TDI Diesel,81072.0,2011,Diesel,False,632
Agrale,MARRUÁ AM 150 2.8 CD TDI Diesel,66675.0,2010,Diesel,False,676
Agrale,MARRUÁ AM 150 2.8 CD TDI Diesel,54883.0,2009,Diesel,False,1780
Agrale,MARRUÁ AM 150 2.8 CD TDI Diesel,52638.0,2008,Diesel,False,1332
Agrale,MARRUÁ AM 200 2.8 CD TDI Diesel,379862.0,2019,Diesel,False,1196
Agrale,MARRUÁ AM 200 2.8 CD TDI Diesel,316298.0,2021,Diesel,False,924
Agrale,MARRUÁ AM 200 2.8 CD TDI Diesel,299512.0,2020,Diesel,False,1707
Agrale,MARRUÁ AM 200 2.8 CD TDI Diesel,241951.0,2019,Diesel,False,1693
Agrale,MARRUÁ AM 200 2.8 CD TDI Diesel,197806.0,2018,Diesel,False,2018
Agrale,MARRUÁ AM 200 2.8 CD TDI Diesel,152010.0,2017,Diesel,False,1631
Agrale,MARRUÁ AM 200 2.8 CD TDI Diesel,141863.0,2016,Diesel,False,1265
Agrale,MARRUÁ AM 200 2.8 CD TDI Diesel,127608.0,2015,Diesel,False,2014
Agrale,MARRUÁ AM 200 2.8 CD TDI Diesel,112048.0,2014,Diesel,False,2318
Agrale,MARRUÁ AM 200 2.8 CD TDI Diesel,102320.0,2013,Diesel,False,1575
Agrale,MARRUÁ AM 200 2.8 CD TDI Diesel,99147.0,2012,Diesel,False,2880
Agrale,MARRUÁ AM 200 2.8 CD TDI Diesel,82579.0,2011,Diesel,False,1120
Agrale,MARRUÁ AM 200 2.8 CD TDI Diesel,73887.0,2010,Diesel,False,1500
Agrale,MARRUÁ AM 200 2.8 CD TDI Diesel,70207.0,2009,Diesel,False,1730
Agrale,MARRUÁ AM 200 2.8 CD TDI Diesel,62381.0,2008,Diesel,False,1212
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,355525.0,2019,Diesel,False,1147
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,299546.0,2021,Diesel,False,1224
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,274182.0,2020,Diesel,False,971
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,219006.0,2019,Diesel,False,2254
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,183976.0,2018,Diesel,False,1993
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,140929.0,2017,Diesel,False,1267
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,133434.0,2016,Diesel,False,641
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,102974.0,2015,Diesel,False,1186
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,96869.0,2014,Diesel,False,2603
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,93154.0,2013,Diesel,False,1447
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,87261.0,2012,Diesel,False,1760
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,74695.0,2011,Diesel,False,1017
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,53009.0,2010,Diesel,False,877
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,49939.0,2009,Diesel,False,1103
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,47847.0,2008,Diesel,False,1349
Agrale,MARRUÁ AM 200 2.8 CS TDI Diesel,45879.0,2007,Diesel,False,1349
Agrale,MARRUÁ AM 200 Escolar 2.8 TDI Diesel,456633.0,2019,Diesel,False,1791
Agrale,MARRUÁ AM 200 Escolar 2.8 TDI Diesel,362944.0,2021,Diesel,False,1701
Agrale,MARRUÁ AM 200 Microbus 2.8 TDI Diesel,455566.0,2019,Diesel,False,1914
Agrale,MARRUÁ AM 200 Microbus 2.8 TDI Diesel,360112.0,2021,Diesel,False,1298
Agrale,MARRUÁ AM 50 2.8 140cv TDI Diesel,72644.0,2011,Diesel,False,2499
Agrale,MARRUÁ AM 50 2.8 140cv TDI Diesel,61024.0,2010,Diesel,False,1580
Agrale,MARRUÁ AM 50 2.8 140cv TDI Diesel,56457.0,2009,Diesel,False,1491
Agrale,MARRUÁ AM 50 2.8 140cv TDI Diesel,52568.0,2008,Diesel,False,1206
Alfa Romeo,145 Elegant 1.7/1.8 16V,15024.0,1999,Gasolina,False,1656
Alfa Romeo,145 Elegant 1.7/1.8 16V,13120.0,1998,Gasolina,False,1148
Alfa Romeo,145 Elegant 1.7/1.8 16V,8938.0,1997,Gasolina,False,1786
Alfa Romeo,145 Elegant 1.7/1.8 16V,8101.0,1996,Gasolina,False,1819
Alfa Romeo,145 Elegant 2.0 16V,13320.0,1998,Gasolina,False,1361
Alfa Romeo,145 Elegant 2.0 16V,10775.0,1997,Gasolina,False,2146
Alfa Romeo,145 Elegant 2.0 16V,9169.0,1996,Gasolina,False,2036
Alfa Romeo,145 Elegant 2.0 16V,7891.0,1995,Gasolina,False,1777
Alfa Romeo,145 Quadrifoglio 2.0,13845.0,1999,Gasolina,False,1038
Alfa Romeo,145 Quadrifoglio 2.0,13426.0,1998,Gasolina,False,1293
Alfa Romeo,145 Quadrifoglio 2.0,11738.0,1997,Gasolina,False,1786
Alfa Romeo,145 Quadrifoglio 2.0,10992.0,1996,Gasolina,False,1051
Alfa Romeo,145 QV,14070.0,1998,Gasolina,False,1344
Alfa Romeo,145 QV,12090.0,1997,Gasolina,False,1818
Alfa Romeo,145 QV,11357.0,1996,Gasolina,False,630
Alfa Romeo,147 2.0 16V 148cv 4p Semi-Aut.,50750.0,2005,Gasolina,True,724
Alfa Romeo,147 2.0 16V 148cv 4p Semi-Aut.,49164.0,2004,Gasolina,True,1682
Alfa Romeo,147 2.0 16V 148cv 4p Semi-Aut.,47670.0,2003,Gasolina,True,786
Alfa Romeo,155,12117.0,1997,Gasolina,False,1170
Alfa Romeo,155,11704.0,1996,Gasolina,False,280
Alfa Romeo,155,9781.0,1995,Gasolina,False,1615
Alfa Romeo,155 Super,13008.0,1997,Gasolina,False,1593
Alfa Romeo,155 Super,12286.0,1996,Gasolina,False,2459
Alfa Romeo,155 Super,11245.0,1995,Gasolina,False,1348
Alfa Romeo,156 2.5 V6 24V 190cv 4p Aut.,54204.0,2003,Gasolina,True,1517
Alfa Romeo,156 2.5 V6 24V 190cv 4p Aut.,25866.0,1999,Gasolina,True,1239
Alfa Romeo,156 Sport Wagon 2.0 16V,26295.0,2002,Gasolina,False,938
Alfa Romeo,156 Sport Wagon 2.0 16V,23070.0,2001,Gasolina,False,1833
Alfa Romeo,156 Sport Wagon 2.5 V6 24V 4p Aut.,35950.0,2004,Gasolina,True,1457
Alfa Romeo,156 Sport Wagon 2.5 V6 24V 4p Aut.,33643.0,2003,Gasolina,True,996
